Optimizing /h/ywang30/nofib/spectral/awards
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 15
gens: 13
arch: 7
Basetime is: 286992.0
10101000101101010100100000010100100010,10101000101101010100100000010100100010100000100110000111000 282008.0
10100001111100010101000101001100010010,10100001111100010101000101001100010010111100000011001000001 282008.0
10101001101100010100110001011110000010,10101001101100010100110001011110000010100000001011100001100 282008.0
11101010100000001110011111001101101011,11101010100000001110011111001101101011101000011101100101100 282008.0
11101100100000001100111011010010100010,11101100100000001100111011010010100010100000011101100001100 282008.0
best: 0.9826336622623627
11101001101101011000000100010000110010,11101001101101011000000100010000110010101000000111100101001 282008.0
11101001100100011110110000011011000110,11101001100100011110110000011011000110000000000010101001101 282024.0
11101000101101011001000000000110100010,11101000101101011001000000000110100010100000000111000001000 282104.0
10101100100101000100110011000011100010,10101100100101000100110011000011100010100000010101100001000 282008.0
10001001000000101100110010001111001001,10001001000000101100110010001111001001100001001011001011000 282008.0
10111011110010101110010111001101001010,10111011110010101110010111001101001010000000011111001111100 282624.0
10100000101101010101000001001100010010,10100000101101010101000001001100010010110000000110000001001 282104.0
11101001100100001000011001010011100010,11101001100100001000011001010011100010100000011111100001100 282008.0
11101000101101011000000000000110100010,11101000101101011000000000000110100010100000100110100001100 282008.0
10100000101100010100011100011110000010,10100000101100010100011100011110000010100000001011110101100 282024.0
01101000101000010100010011010011100010,01101000101000010100010011010011100010110000001110000001110 286928.0
11100000101100001110010101101101111000,11100000101100001110010101101101111000101100110010011100111 573984.0
00100101110111010101101001001000110011,00100101110111010101101001001000110011101101110001000100110 286928.0
10100001101101010111100110001111011110,10100001101101010111100110001111011110111100000101000010001 282024.0
00100011010100000101010011010100000010,00100011010100000101010011010100000010111000011011001001001 286912.0
10101101001101111100110000001010001001,10101101001101111100110000001010001001100000000011101011000 282008.0
11101000101101011000000000010010100010,11101000101101011000000000010010100010100000100111100101100 282008.0
11101001100100011100110001011011100010,11101001100100011100110001011011100010100000001111100001100 282008.0
10100000101100001010101101001101011010,10100000101100001010101101001101011010111110110010101000011 282008.0
11100000100000001000011010010011100010,11100000100000001000011010010011100010100000111101100001100 282008.0
10011001011010101101010110001111011010,10011001011010101101010110001111011010000011010011001111101 282008.0
10101000101101010100100000010100100010,10101000101101010100100000010100100010100000100110000111000 282008.0
best: 0.9826336622623627
11101100100000010100010011010011100010,11101100100000010100010011010011100010110000010101000001110 282024.0
10011000101100111101010100011110010010,10011000101100111101010100011110010010100010001011001111100 282104.0
10101001001101111100110000001010001001,10101001001101111100110000001010001001100000001011001011000 282008.0
11101100101101001000010000010010100010,11101100101101001000010000010010100010100000100101100001000 282008.0
11101001101101001001010000000110100010,11101001101101001001010000000110100010100000010111000001000 282008.0
11101000100101000100010010010011100010,11101000100101000100010010010011100010100000010101100001100 282024.0
11001001011011111101010100011011010010,11001001011011111101010100011011010010000001010111001101001 282008.0
01101001100100011100010011010011100010,01101001100100011100010011010011100010100000001110100001110 286912.0
11111011100000001110010101011011001010,11111011100000001110010101011011001010000000011111101001100 282624.0
00101101001110010000000110011000010111,00101101001110010000000110011000010111101100010011110101100 286952.0
10111101101111101100110000011000100101,10111101101111101100110000011000100101100000010011101011110 282640.0
10100100101110111110111101000110101010,10100100101110111110111101000110101010011110010111111011011 282008.0
10111111100101101010110011001011100110,10111111100101101010110011001011100110000010101101100101101 282640.0
11101011001101000110100000111111101111,11101011001101000110100000111111101111111100000101000010001 573984.0
10000101101100111100110101001010000001,10000101101100111100110101001010000001101011000010101010000 282008.0
11101001101101011000000100010000110010,11101001101101011000000100010000110010101000000111100101001 282008.0
10101100100101000100110011000011100010,10101100100101000100110011000011100010100000010101100001000 282008.0
10001001000000101100110010001111001001,10001001000000101100110010001111001001100001001011001011000 282008.0
11101001100100001000011001010011100010,11101001100100001000011001010011100010100000011111100001100 282008.0
11101000101101011000000000000110100010,11101000101101011000000000000110100010100000100110100001100 282008.0
10101101001101111100110000001010001001,10101101001101111100110000001010001001100000000011101011000 282008.0
11101000101101011000000000010010100010,11101000101101011000000000010010100010100000100111100101100 282008.0
best: 0.9826336622623627
10101000100101000100011011010011100010,10101000100101000100011011010011100010100000011111100001100 282024.0
11001001011110111000011001011011100010,11001001011110111000011001011011100010000001011111001001000 282008.0
10101101001101111100110000001010001001,10101101001101111100110000001010001001100000000011101011000 282008.0
10101000100101010100110011000010100010,10101000100101010100110011000010100010100000100111100001000 282008.0
11101100101101011000000000000110100010,11101100101101011000000000000110100010100000100101100001100 282008.0
11101001100101001100010010000110100010,11101001100101001100010010000110100010100000010111100001100 282008.0
11101111100000001110010111000011100010,11101111100000001110010111000011100010100000010101100001100 282008.0
11101000101101001000000001010011100010,11101000101101001000000001010011100010100000111111100101100 282008.0
11101001100100011000000101010011110010,11101001100100011000000101010011110010100000010111100001100 282008.0
11110000101101011100000100001110100010,11110000101101011100000100001110100010110000010100110101100 282640.0
00100001010101111100010011000010111001,00100001010101111100010011000010111001100011101001001111001 286912.0
10101100101100000100100110110011100100,10101100101100000100100110110011100100101000111101001001000 573984.0
10000001001001000010110010001110001001,10000001001001000010110010001110001001100001001111000001001 282040.0
11100111001100010001100111010001110001,11100111001100010001100111010001110001100000000100100101101 282024.0
10101010101100101100010100010101010010,10101010101100101100010100010101010010111111011101011111100 282008.0
10101001001101111100110000001010001001,10101001001101111100110000001010001001100000001011001011000 282008.0
11101100101101001000010000010010100010,11101100101101001000010000010010100010100000100101100001000 282008.0
11101001101101001001010000000110100010,11101001101101001001010000000110100010100000010111000001000 282008.0
11001001011011111101010100011011010010,11001001011011111101010100011011010010000001010111001101001 282008.0
10100100101110111110111101000110101010,10100100101110111110111101000110101010011110010111111011011 282008.0
10000101101100111100110101001010000001,10000101101100111100110101001010000001101011000010101010000 282008.0
11101001101101011000000100010000110010,11101001101101011000000100010000110010101000000111100101001 282008.0
best: 0.9826336622623627
11101001111101111001000101010011000010,11101001111101111001000101010011000010000001011111001101000 282008.0
11101100101100001110011111000010100010,11101100101100001110011111000010100010010010010101100001001 282024.0
11101101011001111100010100011010011000,11101101011001111100010100011010011000000000000011101011001 282008.0
10001001011011111101110000011011001011,10001001011011111101110000011011001011100000000011001101001 282008.0
10101001001101111000010000000010100001,10101001001101111000010000000010100001100000001011001001000 282008.0
10101001100101101100010010000010000000,10101001100101101100010010000010000000100000000011001001000 282008.0
11101000101101001100010000010010100010,11101000101101001100010000010010100010100000010101100001000 282008.0
11001100001011101100010100010011100010,11001100001011101100010100010011100010000000000101101101000 282008.0
11101011001100001100010101000011100010,11101011001100001100010101000011100010000000010111100001100 282008.0
01001100000101001100010010110110110111,01001100000101001100010010110110110111111110100100000100000 573984.0
11001010101100011010001100101000110011,11001010101100011010001100101000110011101000111111110001110 573984.0
00000101111100100100110101101100000001,00000101111100100100110101101100000001101111011010100010100 573984.0
10101000101001011110110001000111100011,10101000101001011110110001000111100011100001101111100010011 282008.0
11101010101001000100110100000101001000,11101010101001000100110100000101001000101100011101011110110 282008.0
00100010101100110110010100000101111110,00100010101100110110010100000101111110111110011001010111100 286992.0
11001001011110111000011001011011100010,11001001011110111000011001011011100010000001011111001001000 282008.0
10101101001101111100110000001010001001,10101101001101111100110000001010001001100000000011101011000 282008.0
10101000100101010100110011000010100010,10101000100101010100110011000010100010100000100111100001000 282008.0
11101100101101011000000000000110100010,11101100101101011000000000000110100010100000100101100001100 282008.0
11101001100101001100010010000110100010,11101001100101001100010010000110100010100000010111100001100 282008.0
11101111100000001110010111000011100010,11101111100000001110010111000011100010100000010101100001100 282008.0
11101000101101001000000001010011100010,11101000101101001000000001010011100010100000111111100101100 282008.0
best: 0.9826336622623627
11001000101101111000011001001011100010,11001000101101111000011001001011100010000001000111001001000 282008.0
11101110001101001100010101010011100010,11101110001101001100010101010011100010000000000101101001100 282008.0
11101100101100001110011101000110100011,11101100101100001110011101000110100011000000100101100000011 282008.0
11101100011100101100010110001010111010,11101100011100101100010110001010111010000010000001100011001 282008.0
10101001001101011100110101011010010000,10101001001101011100110101011010010000100000000111101011000 282008.0
10101001001100011110110101000111100010,10101001001100011110110101000111100010100001001111100000010 282008.0
10101101011101111100000000010011100010,10101101011101111100000000010011100010100000100011100101000 282008.0
10101001001100011000010101000010100000,10101001001100011000010101000010100000100000010011101001100 282008.0
11001001111111111000010101010011100010,11001001111111111000010101010011100010000001011111001101000 282008.0
11111101111101111100010100000111011000,11111101111101111100010100000111011000000100000001111011101 282624.0
01101000100111001001000111000110111010,01101000100111001001000111000110111010000011111110100001100 287008.0
11101001100111011010010011111110000100,11101001100111011010010011111110000100000100110011001111110 573984.0
01111011101101101001000000010011000110,01111011101101101001000000010011000110000000010111100101100 287544.0
10101010101001001100010111000011100010,10101010101001001100010111000011100010100011011111101001100 282008.0
10000011100010111000010000001011001011,10000011100010111000010000001011001011110000000011011101010 282008.0
11101001111101111001000101010011000010,11101001111101111001000101010011000010000001011111001101000 282008.0
11101101011001111100010100011010011000,11101101011001111100010100011010011000000000000011101011001 282008.0
10001001011011111101110000011011001011,10001001011011111101110000011011001011100000000011001101001 282008.0
10101001001101111000010000000010100001,10101001001101111000010000000010100001100000001011001001000 282008.0
10101001100101101100010010000010000000,10101001100101101100010010000010000000100000000011001001000 282008.0
11101000101101001100010000010010100010,11101000101101001100010000010010100010100000010101100001000 282008.0
11001100001011101100010100010011100010,11001100001011101100010100010011100010000000000101101101000 282008.0
best: 0.9826336622623627
10101010101001001110110101000011100010,10101010101001001110110101000011100010100001011111100001010 282008.0
11001100101001101100010100010010100010,11001100101001101100010100010010100010100000010101100001000 282008.0
10110111100110111100010100001011011010,10110111100110111100010100001011011010000100000011111111010 282624.0
10101001001000011111110000011011001010,10101001001000011111110000011011001010100001001011000001011 282008.0
11101101011101111100000000010011110000,11101101011101111100000000010011110000000000100011101011000 282008.0
11001001111111111000010101010011100010,11001001111111111000010101010011100010000001011111001101000 282008.0
01101001010001011001000100010110011000,01101001010001011001000100010110011000000010110010101011101 286912.0
10101101001100011100000101010111100010,10101101001100011100000101010111100010100001100011100101010 282008.0
11001000101101111110011001000110100011,11001000101101111110011001000110100011000000100111000001001 282008.0
10100011100110110001000001111110001011,10100011100110110001000001111110001011111001001011111111011 573984.0
11010100110001100101010110110000010110,11010100110001100101010110110000010110100100010101101101100 573984.0
11100011011101001000110100011011000110,11100011011101001000110100011011000110100010100111011011011 282024.0
00000001111101111100100010000111110000,00000001111101111100100010000111110000100000100010101001000 286912.0
00100001011100001110100101001111000010,00100001011100001110100101001111000010101001000111100010010 286912.0
01101110111100010111110001001111100011,01101110111100010111110001001111100011010000100011101000111 287008.0
11001000101101111000011001001011100010,11001000101101111000011001001011100010000001000111001001000 282008.0
11101110001101001100010101010011100010,11101110001101001100010101010011100010000000000101101001100 282008.0
11101100101100001110011101000110100011,11101100101100001110011101000110100011000000100101100000011 282008.0
11101100011100101100010110001010111010,11101100011100101100010110001010111010000010000001100011001 282008.0
10101001001101011100110101011010010000,10101001001101011100110101011010010000100000000111101011000 282008.0
10101001001100011110110101000111100010,10101001001100011110110101000111100010100001001111100000010 282008.0
10101101011101111100000000010011100010,10101101011101111100000000010011100010100000100011100101000 282008.0
best: 0.9826336622623627
11101001011101001100110101011010000000,11101001011101001100110101011010000000100000100111011011010 282008.0
10001000001101111000010001001010110000,10001000001101111000010001001010110000100000000111001001000 282008.0
11101000101011011100110101000011100010,11101000101011011100110101000011100010100001011111100001000 282008.0
10101101011101111100010000010011100010,10101101011101111100010000010011100010000000000001100001000 282008.0
10101001001000011111110000011011001010,10101001001000011111110000011011001010100001001011000001011 282008.0
10101111001001011100010100010011100010,10101111001001011100010100010011100010100001011111100101010 282008.0
11101100101100001110011101000110100011,11101100101100001110011101000110100011000000100101100000011 282008.0
10101001001000011111110000011011001010,10101001001000011111110000011011001010100001001011000001011 282008.0
11001000111101101100010101000010100010,11001000111101101100010101000010100010000001111101001100001 282008.0
11000111011100011010110101010100010111,11000111011100011010110101010100010111000110001110010010011 282024.0
11001101011101001001010010010101110100,11001101011101001001010010010101110100000001110010101011001 282024.0
01101100011001110101010110011000111000,01101100011001110101010110011000111000000110010011011011001 287040.0
10101001101001001000001101001110010110,10101001101001001000001101001110010110000011001111101011111 282024.0
11001101100100111110110000000010000110,11001101100100111110110000000010000110000001000011000100001 282024.0
01101101111110100100010111101000011010,01101101111110100100010111101000011010001011010100100101000 573984.0
10101010101001001110110101000011100010,10101010101001001110110101000011100010100001011111100001010 282008.0
11001100101001101100010100010010100010,11001100101001101100010100010010100010100000010101100001000 282008.0
10101001001000011111110000011011001010,10101001001000011111110000011011001010100001001011000001011 282008.0
11101101011101111100000000010011110000,11101101011101111100000000010011110000000000100011101011000 282008.0
11001001111111111000010101010011100010,11001001111111111000010101010011100010000001011111001101000 282008.0
10101101001100011100000101010111100010,10101101001100011100000101010111100010100001100011100101010 282008.0
11001000101101111110011001000110100011,11001000101101111110011001000110100011000000100111000001001 282008.0
best: 0.9826336622623627
11101001111110011100010101010011100010,11101001111110011100010101010011100010100001100111001101010 282008.0
11101001111101101100010101010011100010,11101001111101101100010101010011100010000001001101000101001 282008.0
11101011001001011100110101010011100000,11101011001001011100110101010011100000100001101111010111010 282008.0
10101001001000111110110000011011011000,10101001001000111110110000011011011000100000000111000001011 282008.0
10101011011100011111110000010101001010,10101011011100011111110000010101001010100001001110000010011 282008.0
11101101011101011100100001010011110000,11101101011101011100100001010011110000100000100011001011010 282008.0
10101000101001011111011001010010100011,10101000101001011111011001010010100011100001001011000001011 282104.0
10101001011001011111010000010011100010,10101001011001011111010000010011100010000001001011100001011 282008.0
10101000001000011011110001011011001010,10101000001000011011110001011011001010100001001011000001010 282104.0
01101011111010011111111100010111111000,01101011111010011111111100010111111000101101101010010001111 286912.0
01101001110011111110001100100010100111,01101001110011111110001100100010100111000111100111101011001 573984.0
10001010001111110100110000110001110010,10001010001111110100110000110001110010101000000111101010010 573984.0
11101110101110101010011100000011101011,11101110101110101010011100000011101011000001100111001100000 282008.0
11001001010111100000011011110001001011,11001001010111100000011011110001001011010101101101111101100 573984.0
10101111001001101100011100000110100010,10101111001001101100011100000110100010000001010111100000011 282008.0
11101001011101001100110101011010000000,11101001011101001100110101011010000000100000100111011011010 282008.0
